                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   0.27,                0.23507,                0.94317,                0.86977,                0.55769,                0.65767,                0.62106,                0.37908,                0.76415,                0.99109,              0.0033252,              0.0033252,              0.0033252
                      2,                0.30471,                 0.2665,                0.95601,                0.87906,                0.54826,                0.64978,                0.61119,                0.39516,                0.75493,                0.99671,              0.0066256,              0.0066256,              0.0066256
                      3,                0.35127,                0.33095,                0.98084,                0.84491,                0.54153,                0.62688,                0.57956,                0.45452,                0.79754,                 1.0542,               0.009893,               0.009893,               0.009893
                      4,                0.40022,                0.41137,                 1.0114,                0.84537,                0.54838,                0.61061,                0.55875,                0.46559,                0.68885,                 1.0573,              0.0098515,              0.0098515,              0.0098515
                      5,                0.41294,                0.44009,                 1.0176,                0.85396,                0.51526,                0.58985,                0.54315,                0.49877,                0.86851,                 1.0838,              0.0098515,              0.0098515,              0.0098515
                      6,                0.41834,                0.44442,                 1.0214,                0.84504,                 0.5333,                0.60419,                0.55356,                0.49448,                 0.8009,                 1.0824,               0.009802,               0.009802,               0.009802
                      7,                 0.4196,                0.44572,                 1.0201,                0.82936,                0.54693,                0.62302,                0.56478,                0.51347,                0.79598,                 1.1006,              0.0097525,              0.0097525,              0.0097525
                      8,                0.42251,                0.43871,                 1.0218,                0.82806,                0.53982,                0.60626,                0.55182,                0.50713,                0.80854,                 1.0946,               0.009703,               0.009703,               0.009703
                      9,                0.42481,                0.45068,                 1.0259,                0.80411,                 0.5333,                0.58536,                0.53472,                0.51349,                0.93357,                 1.0891,              0.0096535,              0.0096535,              0.0096535
                     10,                0.42318,                0.44229,                 1.0226,                0.80607,                0.55812,                0.61092,                0.55944,                 0.4763,                0.77449,                 1.0658,               0.009604,               0.009604,               0.009604
                     11,                0.42932,                0.45077,                 1.0302,                0.82492,                0.52296,                0.60408,                0.55204,                0.48408,                0.82898,                 1.0575,              0.0095545,              0.0095545,              0.0095545
                     12,                0.42529,                0.44946,                 1.0284,                0.85011,                0.53825,                0.62836,                0.57316,                0.48701,                 0.7121,                 1.0788,               0.009505,               0.009505,               0.009505
                     13,                0.42598,                0.45259,                 1.0273,                0.86537,                0.55007,                0.62878,                0.57235,                0.50402,                0.76598,                 1.1039,              0.0094555,              0.0094555,              0.0094555
                     14,                0.42177,                0.44453,                 1.0218,                0.85287,                0.55516,                0.62516,                 0.5666,                0.50303,                0.72539,                 1.0902,               0.009406,               0.009406,               0.009406
                     15,                0.42757,                0.44639,                 1.0275,                0.83019,                0.55054,                0.59835,                0.55096,                0.47745,                0.78697,                  1.072,              0.0093565,              0.0093565,              0.0093565
                     16,                0.42687,                0.44571,                 1.0291,                0.83974,                0.53564,                0.59728,                0.54855,                0.47863,                0.81804,                 1.0691,               0.009307,               0.009307,               0.009307
                     17,                0.42006,                0.44463,                 1.0235,                0.85684,                0.54006,                0.60836,                0.56264,                0.47711,                0.77979,                 1.0733,              0.0092575,              0.0092575,              0.0092575
                     18,                0.41337,                0.42606,                 1.0183,                 0.8152,                0.55173,                0.61875,                0.56904,                0.45569,                0.77024,                 1.0592,               0.009208,               0.009208,               0.009208
                     19,                0.41724,                0.43186,                 1.0219,                0.85915,                0.52268,                0.60855,                0.56161,                0.46525,                0.77115,                 1.0656,              0.0091585,              0.0091585,              0.0091585
                     20,                0.42036,                0.43992,                 1.0254,                0.86092,                0.54419,                0.60482,                0.55728,                0.48901,                0.80467,                 1.0771,               0.009109,               0.009109,               0.009109
                     21,                0.42152,                0.43539,                 1.0262,                0.84152,                0.53013,                0.59352,                0.54603,                 0.4924,                0.82781,                  1.089,              0.0090595,              0.0090595,              0.0090595
                     22,                0.41754,                0.42609,                 1.0201,                0.88108,                0.54833,                 0.6387,                0.57822,                0.47376,                0.68477,                 1.0663,                0.00901,                0.00901,                0.00901
                     23,                0.41855,                0.42164,                 1.0217,                0.83128,                0.55536,                0.61797,                0.56277,                0.50449,                 0.7671,                 1.0883,              0.0089605,              0.0089605,              0.0089605
                     24,                 0.4143,                0.42862,                 1.0182,                0.80941,                0.56097,                0.63893,                0.58086,                0.49119,                0.77324,                 1.0782,               0.008911,               0.008911,               0.008911
                     25,                 0.4165,                0.42243,                 1.0219,                0.88654,                0.55027,                0.62058,                0.57062,                0.49662,                0.77724,                 1.0954,              0.0088615,              0.0088615,              0.0088615
                     26,                0.41022,                0.41895,                 1.0148,                0.84844,                0.55267,                0.62573,                0.58029,                0.45382,                0.76377,                 1.0606,               0.008812,               0.008812,               0.008812
                     27,                0.41555,                0.41901,                 1.0206,                0.87242,                 0.5479,                0.62398,                0.57819,                0.47298,                0.78195,                 1.0616,              0.0087625,              0.0087625,              0.0087625
                     28,                0.41354,                0.41921,                 1.0172,                 0.8553,                0.53979,                0.61496,                0.56456,                0.46875,                0.76426,                 1.0446,               0.008713,               0.008713,               0.008713
                     29,                0.40993,                0.41651,                 1.0156,                0.85363,                0.54067,                0.62697,                0.57755,                 0.4719,                0.71695,                 1.0685,              0.0086635,              0.0086635,              0.0086635
                     30,                0.39885,                0.40837,                 1.0094,                 0.8695,                0.54233,                0.63222,                0.58267,                0.48323,                0.79885,                  1.085,               0.008614,               0.008614,               0.008614
                     31,                0.40087,                0.40692,                 1.0117,                0.86996,                0.53998,                0.64114,                0.59565,                0.44703,                0.73194,                 1.0431,              0.0085645,              0.0085645,              0.0085645
                     32,                0.39957,                0.40963,                 1.0105,                0.83163,                  0.541,                0.61212,                0.56698,                0.46888,                0.79473,                 1.0608,               0.008515,               0.008515,               0.008515
                     33,                0.40697,                0.40971,                 1.0165,                0.86396,                0.53834,                0.60755,                0.56248,                0.47777,                0.82426,                 1.0825,              0.0084655,              0.0084655,              0.0084655
                     34,                0.40381,                0.40766,                 1.0152,                0.87101,                0.53671,                0.61977,                0.57602,                0.46312,                0.79438,                 1.0555,               0.008416,               0.008416,               0.008416
                     35,                0.40292,                 0.4069,                 1.0138,                0.84996,                0.53441,                0.60018,                0.55026,                0.48263,                0.79628,                 1.0763,              0.0083665,              0.0083665,              0.0083665
                     36,                0.40251,                0.40174,                 1.0127,                0.86048,                0.54142,                0.61679,                0.57156,                0.46786,                0.78094,                 1.0638,               0.008317,               0.008317,               0.008317
                     37,                0.40223,                0.40032,                  1.012,                 0.8769,                0.53344,                0.60988,                0.57186,                0.44173,                0.82777,                 1.0514,              0.0082675,              0.0082675,              0.0082675
                     38,                0.39695,                0.40216,                 1.0094,                0.87925,                0.56012,                0.62123,                0.57288,                0.45785,                 0.7594,                 1.0605,               0.008218,               0.008218,               0.008218
                     39,                0.39564,                0.39619,                 1.0099,                0.87373,                0.54995,                0.62059,                0.57813,                0.44902,                0.77141,                 1.0457,              0.0081685,              0.0081685,              0.0081685
                     40,                0.39592,                0.40003,                 1.0111,                 0.8785,                0.53583,                0.60232,                0.55524,                0.45887,                0.80368,                 1.0431,               0.008119,               0.008119,               0.008119
                     41,                 0.3939,                0.38981,                 1.0065,                0.86731,                0.55354,                0.61701,                0.57082,                0.44563,                0.74187,                 1.0344,              0.0080695,              0.0080695,              0.0080695
                     42,                0.39145,                0.39078,                 1.0065,                 0.8547,                0.54341,                0.62292,                0.57621,                0.45983,                 0.7728,                  1.063,                0.00802,                0.00802,                0.00802
                     43,                0.38751,                0.39168,                 1.0043,                0.85322,                 0.5591,                0.62571,                0.57855,                0.45097,                0.75374,                 1.0612,              0.0079705,              0.0079705,              0.0079705
                     44,                0.39127,                0.39038,                 1.0046,                0.83483,                0.55888,                0.62639,                0.57867,                0.44703,                0.73348,                   1.05,               0.007921,               0.007921,               0.007921
                     45,                0.38816,                0.39076,                 1.0067,                0.84079,                0.55077,                0.62654,                0.58126,                0.42026,                0.74851,                 1.0229,              0.0078715,              0.0078715,              0.0078715
                     46,                0.38921,                0.38649,                 1.0046,                 0.8248,                0.55482,                0.62895,                0.58469,                0.41839,                0.72137,                 1.0191,               0.007822,               0.007822,               0.007822
                     47,                 0.3867,                0.38334,                 1.0063,                0.84154,                0.55792,                0.62832,                0.58106,                0.44456,                0.72799,                 1.0406,              0.0077725,              0.0077725,              0.0077725
                     48,                0.39172,                0.38914,                 1.0085,                0.88717,                0.54841,                0.63436,                0.59357,                0.42632,                0.75669,                 1.0192,               0.007723,               0.007723,               0.007723
                     49,                0.38646,                0.38237,                 1.0013,                0.87564,                0.54891,                0.62172,                0.57875,                0.43834,                 0.7577,                 1.0495,              0.0076735,              0.0076735,              0.0076735
                     50,                0.38507,                0.38956,                 1.0051,                0.85395,                0.55166,                0.64403,                0.59706,                0.43711,                0.69595,                 1.0245,               0.007624,               0.007624,               0.007624
                     51,                0.38725,                0.37468,                 1.0037,                0.81301,                0.56516,                0.62923,                0.58215,                0.44047,                0.73541,                 1.0363,              0.0075745,              0.0075745,              0.0075745
