                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77729,                 3.1457,                 1.3195,                 0.2505,                0.37166,                0.28196,                0.22254,                0.76549,                 1.9586,                 1.4001,              0.0033252,              0.0033252,              0.0033252
                      2,                0.76757,                 2.2086,                 1.2819,                0.39366,                0.39434,                0.35569,                0.26334,                0.87779,                 1.7554,                 1.5172,              0.0066322,              0.0066322,              0.0066322
                      3,                 0.8495,                 2.0471,                  1.327,                0.36193,                 0.3559,                0.31787,                0.23747,                0.98508,                 2.1058,                  1.628,              0.0099128,              0.0099128,              0.0099128
                      4,                0.91415,                 1.9363,                 1.3695,                0.42253,                  0.386,                0.38211,                0.28076,                0.95326,                 1.7305,                  1.534,              0.0098812,              0.0098812,              0.0098812
                      5,                0.88248,                 1.7413,                 1.3357,                0.54825,                0.38897,                0.40901,                0.31256,                 0.8891,                 1.5653,                 1.4857,              0.0098812,              0.0098812,              0.0098812
                      6,                 0.8407,                 1.5882,                 1.3045,                 0.6915,                0.40787,                0.45671,                0.36362,                0.80183,                 1.3351,                 1.4093,              0.0098416,              0.0098416,              0.0098416
                      7,                0.81316,                 1.4882,                 1.2839,                 0.6249,                0.42805,                0.46586,                0.35833,                0.88134,                   1.29,                 1.4461,               0.009802,               0.009802,               0.009802
                      8,                0.78044,                 1.3954,                 1.2582,                0.73376,                0.39412,                 0.4428,                0.35332,                0.80959,                 1.3616,                 1.3988,              0.0097624,              0.0097624,              0.0097624
                      9,                0.76672,                 1.3416,                 1.2517,                0.68028,                0.41892,                0.46085,                 0.3747,                0.82723,                 1.3033,                 1.3862,              0.0097228,              0.0097228,              0.0097228
                     10,                0.74505,                 1.2711,                 1.2315,                0.61854,                0.44119,                0.47104,                0.38444,                0.76209,                 1.2663,                 1.3619,              0.0096832,              0.0096832,              0.0096832
                     11,                0.72888,                 1.2412,                 1.2292,                0.67136,                0.46011,                0.49822,                0.40803,                 0.7609,                 1.1007,                 1.3119,              0.0096436,              0.0096436,              0.0096436
                     12,                0.71238,                 1.2008,                 1.2177,                0.70768,                0.49791,                0.52174,                0.43426,                0.68922,                 1.0668,                   1.25,               0.009604,               0.009604,               0.009604
                     13,                0.69806,                 1.1659,                 1.2026,                0.76009,                0.45725,                 0.5219,                 0.4362,                0.70252,                 1.0188,                 1.2634,              0.0095644,              0.0095644,              0.0095644
                     14,                0.68623,                 1.1295,                 1.1943,                0.67163,                0.50622,                0.52692,                 0.4381,                0.70427,                0.99021,                 1.2209,              0.0095248,              0.0095248,              0.0095248
                     15,                0.68196,                 1.1069,                 1.1936,                 0.6692,                0.52874,                0.55372,                0.46328,                0.68503,                0.92985,                 1.2463,              0.0094852,              0.0094852,              0.0094852
                     16,                0.66681,                 1.0813,                 1.1865,                0.72157,                0.51464,                0.54824,                0.46503,                0.65912,                0.90707,                 1.2225,              0.0094456,              0.0094456,              0.0094456
                     17,                 0.6571,                 1.0562,                 1.1782,                0.78394,                0.48053,                0.54326,                0.45175,                0.67987,                0.98912,                 1.2504,               0.009406,               0.009406,               0.009406
                     18,                0.64345,                 1.0099,                 1.1669,                0.78138,                0.46949,                0.52807,                0.45167,                0.65213,                0.96334,                 1.2299,              0.0093664,              0.0093664,              0.0093664
                     19,                0.64027,                 1.0065,                 1.1667,                0.73607,                0.52228,                0.55152,                0.47538,                0.60398,                 0.8604,                 1.2041,              0.0093268,              0.0093268,              0.0093268
                     20,                0.63298,                0.98366,                 1.1644,                0.74892,                0.53189,                0.56779,                0.48808,                0.61709,                0.87792,                 1.1832,              0.0092872,              0.0092872,              0.0092872
                     21,                0.62986,                0.97537,                 1.1617,                0.76533,                0.49275,                0.54781,                0.47075,                0.60885,                 0.9303,                 1.1816,              0.0092476,              0.0092476,              0.0092476
                     22,                0.62229,                0.95868,                 1.1516,                0.71304,                0.49088,                0.52487,                0.45464,                0.62127,                0.97768,                 1.2007,               0.009208,               0.009208,               0.009208
                     23,                0.61686,                0.93646,                 1.1501,                0.75038,                0.48945,                0.54083,                0.46372,                0.61999,                 0.9474,                 1.1953,              0.0091684,              0.0091684,              0.0091684
                     24,                 0.6119,                0.92622,                 1.1486,                0.69611,                0.53529,                0.55073,                0.47863,                0.59361,                0.88336,                 1.1434,              0.0091288,              0.0091288,              0.0091288
                     25,                0.61092,                0.90304,                 1.1447,                0.80836,                0.51565,                0.57461,                0.49499,                0.59687,                0.83802,                 1.1667,              0.0090892,              0.0090892,              0.0090892
                     26,                0.60114,                0.89972,                 1.1392,                0.74968,                0.50312,                0.55869,                0.47776,                0.60504,                0.89516,                  1.192,              0.0090496,              0.0090496,              0.0090496
                     27,                0.59858,                0.88192,                 1.1398,                0.78526,                0.53029,                0.58158,                0.50291,                0.58332,                0.81518,                 1.1611,                0.00901,                0.00901,                0.00901
                     28,                0.59615,                0.89023,                 1.1351,                0.76751,                0.52937,                0.57035,                0.49818,                0.58785,                0.85674,                 1.1594,              0.0089704,              0.0089704,              0.0089704
                     29,                0.59329,                0.85865,                 1.1329,                0.79131,                0.52554,                  0.566,                0.49097,                0.57818,                0.83473,                 1.1525,              0.0089308,              0.0089308,              0.0089308
                     30,                0.56742,                0.82935,                 1.1159,                0.79577,                 0.5253,                0.57439,                0.50883,                0.58573,                 0.8686,                 1.1322,              0.0088912,              0.0088912,              0.0088912
                     31,                0.57187,                 0.8276,                 1.1194,                0.79397,                0.52801,                0.57092,                 0.4996,                0.59491,                0.89901,                 1.1667,              0.0088516,              0.0088516,              0.0088516
                     32,                0.57422,                 0.8237,                   1.12,                0.70954,                0.52485,                0.55881,                0.49032,                0.57996,                0.86936,                 1.1593,               0.008812,               0.008812,               0.008812
                     33,                0.57607,                 0.8166,                 1.1232,                0.84509,                0.50626,                0.57953,                 0.5111,                0.56445,                0.87457,                 1.1291,              0.0087724,              0.0087724,              0.0087724
                     34,                 0.5687,                0.80752,                 1.1194,                0.76082,                0.52672,                0.57618,                0.51013,                0.57036,                0.79573,                 1.1449,              0.0087328,              0.0087328,              0.0087328
                     35,                0.56475,                0.79268,                 1.1159,                0.78779,                 0.5216,                0.57951,                0.50842,                0.59419,                0.84777,                 1.1593,              0.0086932,              0.0086932,              0.0086932
                     36,                0.55967,                 0.7862,                 1.1148,                0.82238,                0.52698,                0.58869,                0.51816,                0.57691,                0.80097,                 1.1383,              0.0086536,              0.0086536,              0.0086536
                     37,                0.56178,                 0.7753,                 1.1102,                0.86767,                0.50909,                0.59497,                0.52947,                0.54848,                0.77801,                 1.1202,               0.008614,               0.008614,               0.008614
                     38,                0.55348,                0.76931,                 1.1063,                0.75362,                0.55338,                0.58661,                0.51792,                0.55636,                0.78464,                 1.1301,              0.0085744,              0.0085744,              0.0085744
                     39,                0.55098,                0.75821,                 1.1044,                0.85875,                0.50623,                0.59044,                0.52455,                0.54079,                0.82252,                 1.1082,              0.0085348,              0.0085348,              0.0085348
                     40,                0.54724,                0.75197,                 1.1069,                0.80968,                0.51971,                0.58233,                0.52203,                0.53929,                0.80577,                 1.1187,              0.0084952,              0.0084952,              0.0084952
                     41,                 0.5486,                0.74274,                 1.1019,                0.80244,                0.52244,                0.58259,                0.52481,                 0.5205,                0.76955,                   1.09,              0.0084556,              0.0084556,              0.0084556
                     42,                 0.5453,                0.73558,                 1.1043,                0.82963,                0.52597,                0.58876,                0.52091,                0.52915,                0.77239,                  1.097,               0.008416,               0.008416,               0.008416
                     43,                0.53983,                0.72622,                 1.0988,                 0.7975,                0.53718,                0.58153,                0.52441,                0.52409,                 0.7707,                  1.104,              0.0083764,              0.0083764,              0.0083764
                     44,                 0.5333,                0.72088,                 1.0922,                0.82911,                0.53193,                 0.5986,                0.53791,                 0.5212,                0.77989,                  1.098,              0.0083368,              0.0083368,              0.0083368
                     45,                0.53389,                0.71676,                 1.0986,                0.83734,                0.52873,                0.58946,                0.53136,                0.53403,                0.80579,                 1.1005,              0.0082972,              0.0082972,              0.0082972
                     46,                0.53253,                0.71429,                  1.094,                0.85706,                0.52881,                0.59114,                0.53182,                0.51477,                0.74226,                 1.0826,              0.0082576,              0.0082576,              0.0082576
                     47,                0.52859,                0.69195,                 1.0955,                0.83044,                0.52557,                0.58765,                0.52914,                0.52469,                0.81122,                 1.0942,               0.008218,               0.008218,               0.008218
                     48,                0.53176,                0.70084,                 1.0965,                0.82892,                0.53353,                0.59876,                0.53984,                0.52406,                0.79556,                 1.0926,              0.0081784,              0.0081784,              0.0081784
                     49,                  0.526,                0.68902,                 1.0904,                0.81154,                0.54248,                0.58674,                0.53004,                0.51603,                 0.7728,                 1.0839,              0.0081388,              0.0081388,              0.0081388
                     50,                0.52227,                0.68941,                   1.09,                0.79526,                0.55471,                0.59972,                 0.5413,                0.52107,                0.79296,                 1.0794,              0.0080992,              0.0080992,              0.0080992
                     51,                0.52351,                 0.6705,                 1.0862,                0.81061,                0.54098,                0.59005,                0.53346,                0.52554,                0.77515,                 1.0921,              0.0080596,              0.0080596,              0.0080596
