                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.39814,                0.42228,                 1.0112,                0.83574,                 0.5387,                0.62468,                0.58473,                0.43577,                0.78016,                 1.0252,              0.0033252,              0.0033252,              0.0033252
                      2,                0.46225,                0.47414,                  1.028,                0.86596,                0.51445,                0.60166,                0.55278,                0.46493,                0.76266,                 1.0543,              0.0066146,              0.0066146,              0.0066146
                      3,                0.51859,                0.57764,                 1.0607,                0.62703,                0.51486,                 0.5155,                0.45637,                0.60718,                  1.129,                 1.1959,                0.00986,                0.00986,                0.00986
                      4,                 0.5604,                0.66798,                 1.0956,                0.81746,                0.50713,                0.55748,                0.49436,                0.59806,                0.92913,                 1.1912,               0.009802,               0.009802,               0.009802
                      5,                0.55391,                0.65893,                 1.0922,                0.81604,                 0.5244,                0.56562,                0.50364,                0.54957,                0.85067,                 1.1311,               0.009736,               0.009736,               0.009736
                      6,                0.53983,                0.64478,                 1.0874,                0.83287,                0.54068,                0.59535,                0.54124,                0.51777,                0.76741,                  1.096,                0.00967,                0.00967,                0.00967
                      7,                 0.5399,                0.63569,                  1.088,                0.78457,                0.53059,                0.58011,                 0.5196,                0.54744,                0.84985,                 1.1188,               0.009604,               0.009604,               0.009604
                      8,                0.52471,                0.61263,                 1.0769,                 0.8258,                 0.5459,                0.59185,                0.53548,                0.52779,                0.83812,                 1.1066,               0.009538,               0.009538,               0.009538
                      9,                0.51975,                 0.6152,                 1.0774,                 0.8229,                0.48838,                0.56691,                0.50831,                0.55195,                 1.0327,                 1.1352,               0.009472,               0.009472,               0.009472
                     10,                 0.5165,                0.59864,                 1.0769,                0.80979,                0.54577,                0.59505,                0.53872,                0.53734,                0.82084,                 1.1246,               0.009406,               0.009406,               0.009406
                     11,                0.50841,                0.58714,                 1.0704,                0.85187,                0.51838,                0.58878,                0.52789,                0.53557,                0.82618,                 1.1201,                0.00934,                0.00934,                0.00934
                     12,                0.50757,                0.58614,                 1.0723,                 0.8165,                0.53735,                0.60049,                0.54468,                0.54094,                0.87443,                 1.1164,               0.009274,               0.009274,               0.009274
                     13,                 0.5004,                0.57294,                 1.0685,                0.81291,                0.55467,                0.61487,                0.55391,                 0.5334,                0.76839,                 1.1293,               0.009208,               0.009208,               0.009208
                     14,                0.49986,                 0.5698,                 1.0676,                0.83289,                0.54409,                0.61921,                0.56059,                0.52359,                0.74783,                  1.117,               0.009142,               0.009142,               0.009142
                     15,                 0.4937,                0.55843,                 1.0653,                0.86033,                0.54536,                0.60689,                 0.5535,                0.51833,                0.84769,                 1.0961,               0.009076,               0.009076,               0.009076
                     16,                0.49157,                0.55416,                 1.0661,                0.78699,                 0.5714,                0.60947,                 0.5478,                0.52668,                0.78315,                  1.116,                0.00901,                0.00901,                0.00901
                     17,                0.48599,                0.53612,                 1.0609,                0.84983,                0.53414,                0.59894,                0.54336,                0.49704,                0.80448,                 1.0829,               0.008944,               0.008944,               0.008944
                     18,                0.47344,                0.52792,                 1.0513,                 0.8292,                0.55381,                0.61288,                0.55233,                0.50571,                0.74559,                 1.0884,               0.008878,               0.008878,               0.008878
                     19,                0.47816,                0.53301,                 1.0568,                0.84709,                0.56416,                 0.6282,                0.56075,                0.52067,                0.70373,                 1.1008,               0.008812,               0.008812,               0.008812
                     20,                0.47272,                0.53112,                 1.0552,                0.85775,                0.54548,                0.61356,                0.55953,                0.51618,                0.80527,                 1.0953,               0.008746,               0.008746,               0.008746
                     21,                0.47123,                0.52093,                 1.0526,                0.80773,                0.55875,                0.61851,                 0.5638,                0.52081,                0.76283,                 1.1121,                0.00868,                0.00868,                0.00868
                     22,                0.46969,                0.51522,                 1.0554,                0.84416,                0.55299,                0.62762,                0.57977,                0.49678,                0.74387,                 1.0609,               0.008614,               0.008614,               0.008614
                     23,                0.46645,                0.51337,                 1.0514,                0.84941,                0.54752,                0.59508,                0.53944,                0.49109,                0.78542,                 1.0728,               0.008548,               0.008548,               0.008548
